Time,Number of labor during construction work,Labor percent,Floor Area,Floor Height,Temperature,Precipitation,Alterations in design or drawings,Material shortages,Lack of labor surveillance,Equiment efficiency,Improvement in construction method,Accidents,Haulage of material within construction site,Unsuitablity of material storage location,Actual Productivity (m3/hr)
3,12,33,1024,9.16,10,0,1,3,1,3,2,0,2,1,4.55
4,12,33,1024,9.16,13,0,1,3,1,3,2,0,2,1,4.94
6,10,40,1024,9.16,20,0,1,3,1,3,2,1,2,1,3.12
4,15,40,1236,1.5,16,0,1,3,1,3,2,0,3,1,3.3
5,15,40,1236,1.5,18,0,1,3,1,3,2,0,3,1,4.2
8,15,40,1236,1.5,20,0,1,3,1,3,2,0,3,1,1.95
1,33,45,5047.5,50,7,0,1,3,3,3,3,0,3,1,5.98
2,33,45,5047.5,50,10,0,1,3,3,3,3,0,3,1,6.5
3,33,45,5047.5,50,12,0,1,3,3,3,3,0,3,1,6.24
4,33,45,5047.5,50,14,0,1,3,3,2,3,0,3,1,3.25
7,33,45,5047.5,50,20,0,1,3,2,1,3,1,3,1,0.39
8,33,45,5047.5,50,19,0,1,3,2,1,3,1,3,1,0
9,33,45,5047.5,50,15,0,1,3,2,1,3,0,3,1,0
10,33,45,5047.5,50,15,0,1,3,2,3,3,0,3,1,5.2
11,33,45,5047.5,50,11,0,1,3,1,3,3,0,3,1,4.81
12,33,45,5047.5,50,9,0,1,3,1,3,3,0,3,1,5.33
2,40,23,8833.5,10,10,0,2,3,2,3,3,0,3,2,6.24
3,40,23,8833.5,10,15,0,2,3,2,2,3,0,3,2,6.37
4,40,23,8833.5,10,18,0,2,3,2,2,3,0,3,2,5.85
6,40,23,8833.5,10,19,0,2,3,1,2,3,0,3,2,4.55
7,40,23,8833.5,10,21,0,2,3,1,1,3,0,3,2,0
8,40,23,8833.5,10,22,5,2,3,1,1,3,0,3,2,0.65
9,40,23,8833.5,10,20,5,2,3,1,1,3,0,3,2,1.05
10,40,23,8833.5,10,18,5,2,3,2,3,3,0,3,2,5.33
11,40,23,8833.5,10,15,5,2,3,2,3,3,0,3,2,5.85
12,40,23,8833.5,10,14,5,2,3,2,3,3,0,3,2,5.2
13,40,23,8833.5,10,14,5,2,3,2,3,3,0,3,2,5.2
2,32,46,2075,-12,8,0,2,3,3,3,3,0,3,2,3.9
3,32,46,2075,-12,10,0,2,3,3,3,3,0,3,2,4.55
4,32,46,2075,-12,15,0,2,3,3,2,3,0,3,2,4.55
6,32,46,2075,-12,20,0,2,3,3,1,3,0,3,2,0
7,32,46,2075,-12,22,0,2,3,3,2,3,0,3,2,3.9
9,32,46,2075,-12,20,0,2,3,3,3,3,0,3,2,3.38
10,32,46,2075,-12,19,0,2,3,3,3,3,0,3,2,2.6
2,27,33,11138.55,24,9,10,3,3,3,3,3,0,3,3,6.625
3,27,33,11138.55,24,11,45,3,3,3,3,3,0,3,3,6
4,27,33,11138.55,24,14,70,3,3,3,3,3,0,3,3,5.625
5,27,33,11138.55,24,17,100,3,3,3,3,3,0,3,3,0
6,27,33,11138.55,24,18,100,3,3,3,3,3,0,3,3,0
7,27,33,11138.55,24,17,100,3,3,3,3,3,0,3,3,0
8,27,33,11138.55,24,16,100,3,3,3,3,3,0,3,3,0
10,27,33,11138.55,24,12,100,3,3,3,3,3,0,3,3,0
2,25,28,12240.56,12,7,0,2,3,3,3,3,0,3,3,7.25
3,25,28,12240.56,12,9,0,2,3,3,3,3,0,3,3,7.5
4,25,28,12240.56,12,12,0,2,3,3,3,3,0,3,3,8.125
5,25,28,12240.56,12,15,0,2,3,3,3,3,0,3,3,7.75
6,25,28,12240.56,12,17,0,2,3,3,3,3,0,3,3,7.25
7,25,28,12240.56,12,18,0,2,3,3,3,3,0,3,3,7.25
8,25,28,12240.56,12,18,0,2,3,3,3,3,0,3,3,7.125
9,25,28,12240.56,12,15,0,2,3,3,3,3,0,3,3,6.875
11,25,28,12240.56,12,13,0,2,3,3,3,3,0,3,3,7.125
2,30,40,1750,50,12,0,1,3,2,3,3,0,3,3,4.94
3,30,40,1750,50,13,0,1,3,2,3,3,0,3,3,4.68
4,30,40,1750,50,16,0,1,3,2,3,3,0,3,3,4.55
6,30,40,1750,50,18,0,1,3,2,3,3,0,3,3,4.68
7,30,40,1750,50,21,0,1,3,2,3,3,0,3,3,4.29
8,30,40,1750,50,20,0,1,3,2,3,3,0,3,3,3.64
9,30,40,1750,50,17,0,1,3,2,3,3,0,3,3,3.77
10,30,40,1750,50,15,0,1,3,2,3,3,0,3,3,3.64
6,20,55,1379.15,9.33,22,0,1,3,3,2,3,0,3,3,3.25
7,20,55,1379.15,9.33,23,0,1,3,3,2,3,0,3,3,3.25
8,20,55,1379.15,9.33,21,0,1,3,3,2,3,0,3,3,2.99
9,20,55,1379.15,9.33,19,0,1,3,3,2,3,0,3,3,1.95
1,32,38,1913.95,60,14,0,1,3,2,3,3,0,2,2,3.64
3,32,38,1913.95,60,17,0,1,3,2,3,3,0,2,2,3.38
4,32,38,1913.95,60,19,0,1,3,2,3,3,0,2,2,3.77
6,32,38,1913.95,60,22,0,1,3,2,3,3,0,2,2,3.51
7,32,38,1913.95,60,25,0,1,3,2,3,3,0,2,2,3.25
8,32,38,1913.95,60,25,0,1,3,2,3,3,0,2,2,3.64
9,32,38,1913.95,60,21,0,1,3,2,3,3,0,2,2,3.9
10,32,38,1913.95,60,19,0,1,3,2,3,3,0,2,2,3.77
3,33,33,5000,32.4,15,0,2,3,3,3,3,0,3,2,2.6
4,33,33,5000,32.4,15,0,2,3,3,3,3,0,3,2,3.9
5,33,33,5000,32.4,17,0,2,3,3,3,3,0,3,2,10.14
6,33,33,5000,32.4,19,0,2,3,3,3,3,0,3,2,7.15
7,33,33,5000,32.4,21,0,2,3,3,3,3,0,3,2,7.8
8,33,33,5000,32.4,24,0,2,3,3,3,3,0,3,2,7.41
9,33,33,5000,32.4,22,0,2,3,3,3,3,0,3,2,7.8
10,33,33,5000,32.4,21,0,2,1,3,3,3,0,3,2,2.08
12,33,33,5000,32.4,19,0,2,2,3,3,3,0,3,2,9.1
13,33,33,5000,32.4,18,0,2,2,3,3,3,0,3,2,9.1
5,22,19,880,9.9,19,0,3,3,3,3,3,0,3,2,3.25
6,22,19,880,9.9,24,0,3,3,3,3,3,0,3,2,3.25
7,22,19,880,9.9,26,0,3,3,3,3,3,0,3,2,2.99
4,25,25,2035.8,10,22,0,2,2,3,3,3,0,3,1,3.9
5,25,25,2035.8,10,25,0,2,2,3,2,3,0,3,1,3.51
6,25,25,2035.8,10,26,0,2,2,3,1,3,0,3,1,0
7,25,25,2035.8,10,26,0,2,2,3,2,3,0,3,1,3.25
8,25,25,2035.8,10,25,0,2,2,3,2,3,0,3,1,2.86
9,25,25,2035.8,10,20,0,2,2,3,1,3,0,3,1,1.56
10,25,25,2035.8,10,18,0,2,2,3,2,3,0,3,1,4.55
11,25,25,2035.8,10,15,0,2,2,3,2,3,0,3,1,3.9
2,44,41,6458.35,20,12,0,3,3,3,3,3,0,2,2,10.4
3,44,41,6458.35,20,14,0,3,3,3,3,3,0,2,2,9.62
4,44,41,6458.35,20,15,0,3,3,1,3,3,0,2,2,7.8
5,44,41,6458.35,20,15,0,3,2,3,3,3,0,2,2,8.32
8,44,41,6458.35,20,17,0,3,2,3,3,3,0,2,2,8.06
9,44,41,6458.35,20,18,0,3,3,3,3,3,0,2,2,9.62
1,27,63,1427.98,28.5,14,0,3,3,2,3,3,0,1,1,3.12
2,27,63,1427.98,28.5,16,0,3,3,2,3,3,0,1,1,3.25
3,27,63,1427.98,28.5,16,0,3,3,2,3,3,0,1,1,2.99
4,27,63,1427.98,28.5,18,0,3,3,2,3,3,0,1,1,3.12
7,27,63,1427.98,28.5,24,0,3,3,2,3,3,0,1,1,2.6
8,27,63,1427.98,28.5,24,0,3,3,2,3,3,0,1,1,2.86
9,27,63,1427.98,28.5,21,0,3,3,2,3,3,0,1,1,3.12
10,27,63,1427.98,28.5,20,0,3,3,2,3,3,0,1,1,3.25
2,37,54,8713.5,20,12,0,3,3,3,3,3,0,3,2,3.12
3,37,54,8713.5,20,13,0,3,3,3,3,3,0,3,2,3.25
4,37,54,8713.5,20,15,0,3,3,3,2,3,0,3,2,5.33
5,37,54,8713.5,20,17,0,3,3,3,1,3,0,3,2,4.94
6,37,54,8713.5,20,20,0,3,3,3,1,3,0,3,2,5.46
7,37,54,8713.5,20,23,0,3,3,3,2,3,0,3,2,0
8,37,54,8713.5,20,24,0,3,3,3,2,3,0,3,2,0
9,37,54,8713.5,20,25,0,3,3,3,2,3,0,3,2,3.9
10,37,54,8713.5,20,23,0,3,3,3,2,3,0,3,2,3.77
11,37,54,8713.5,20,19,0,3,3,3,2,3,0,3,2,4.55
13,37,54,8713.5,20,17,0,3,3,3,2,3,0,3,2,5.07
14,37,54,8713.5,20,14,0,3,3,3,2,3,0,3,2,4.94
2,35,42,8713.5,20,14,0,3,3,3,3,3,0,3,2,3.9
3,35,42,8713.5,20,15,0,3,3,3,3,3,0,3,2,4.42
4,35,42,8713.5,20,15,0,3,3,3,3,3,0,3,2,4.55
5,35,42,8713.5,20,17,0,3,3,3,3,3,0,3,2,4.42
6,35,42,8713.5,20,20,0,3,3,3,3,3,0,3,2,4.68
7,35,42,8713.5,20,21,0,3,3,3,3,3,0,3,2,4.55
8,35,42,8713.5,20,23,0,3,3,3,3,3,0,3,2,4.68
9,35,42,8713.5,20,24,0,3,3,3,3,3,0,3,2,4.16
10,35,42,8713.5,20,23,0,3,3,3,3,3,0,3,2,3.9
11,35,42,8713.5,20,19,0,3,3,3,3,3,0,3,2,4.55
